,Name,Price,rating,Images,Links
10,"realme C21 (Cross Black, 32 GB)","₹9,499",4.4,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/q/j/x/c21-rmx3201-realme-original-imagfxfwbszrxkvu.jpeg?q=70,https://www.flipkart.com/realme-c21-cross-black-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489EUA5PEBK&lid=LSTMOBGF489EUA5PEBKW0F0DM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGF489EUA5PEBK.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
11,"realme C21 (Cross Black, 64 GB)","₹10,499",4.4,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/q/j/x/c21-rmx3201-realme-original-imagfxfwbszrxkvu.jpeg?q=70,https://www.flipkart.com/realme-c21-cross-black-64-gb/p/itmf4062d3f37c1a?pid=MOBGF489G9HRWFZ9&lid=LSTMOBGF489G9HRWFZ9NLEAHC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGF489G9HRWFZ9.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
12,"realme 8 (Cyber Black, 128 GB)","₹16,999",4.4,https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/4/g/a/8-rmx3085-realme-original-imagfgpfdkyc29zc.jpeg?q=70,https://www.flipkart.com/realme-8-cyber-black-128-gb/p/itm63bda3bf5b1db?pid=MOBGFH8TNGEKSCTY&lid=LSTMOBGFH8TNGEKSCTYCUMNTU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGFH8TNGEKSCTY.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
13,"realme 8 (Cyber Silver, 128 GB)","₹16,999",4.4,https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/y/o/q/8-rmx3085-realme-original-imagfgpgmm6h8ptt.jpeg?q=70,https://www.flipkart.com/realme-8-cyber-silver-128-gb/p/itm63bda3bf5b1db?pid=MOBGFH8THP6RWKGG&lid=LSTMOBGFH8THP6RWKGGENEOTL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGFH8THP6RWKGG.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
14,"realme Narzo 50i (Mint Green, 32 GB)","₹7,499",4.5,https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/s/o/j/narzo-50i-rmx3231-realme-original-imag75h86v5thnzy.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-mint-green-32-gb/p/itm53fa214c23501?pid=MOBG6MY4BU22NQYT&lid=LSTMOBG6MY4BU22NQYTYOLEYN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG6MY4BU22NQYT.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
15,"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499",4.5,https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/h/b/c/narzo-50i-rmx3231-realme-original-imag75hcyzzggbat.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-carbon-black-32-gb/p/itm53fa214c23501?pid=MOBG6MY4QPAW6PQN&lid=LSTMOBG6MY4QPAW6PQNODSGXD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG6MY4QPAW6PQN.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
16,"realme C21 (Cross Blue, 32 GB)","₹9,499",4.4,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/g/r/g/c21-rmx3201-realme-original-imagfxfwn9aryyda.jpeg?q=70,https://www.flipkart.com/realme-c21-cross-blue-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489MNZGABVJ&lid=LSTMOBGF489MNZGABVJYPQJDW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGF489MNZGABVJ.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
17,"realme 8i (Space Black, 64 GB)","₹13,999",4.5,https://rukminim1.flixcart.com/image/312/312/ktbu6q80/mobile/x/w/y/8i-rmx3151-realme-original-imag6zhnabagtrzu.jpeg?q=70,https://www.flipkart.com/realme-8i-space-black-64-gb/p/itm7ab6edcb3b2a4?pid=MOBG63YXSVKZ5AZJ&lid=LSTMOBG63YXSVKZ5AZJOKGHIO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG63YXSVKZ5AZJ.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
18,"realme 8 (Cyber Black, 128 GB)","₹16,049",4.3,https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/4/g/a/8-rmx3085-realme-original-imagfgpfdkyc29zc.jpeg?q=70,https://www.flipkart.com/realme-8-cyber-black-128-gb/p/itm63bda3bf5b1db?pid=MOBGYV98TGYMRSVQ&lid=LSTMOBGYV98TGYMRSVQKK9CZX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGYV98TGYMRSVQ.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
19,"realme 8 (Cyber Silver, 128 GB)","₹18,049",4.4,https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/y/o/q/8-rmx3085-realme-original-imagfgpgmm6h8ptt.jpeg?q=70,https://www.flipkart.com/realme-8-cyber-silver-128-gb/p/itm63bda3bf5b1db?pid=MOBGYV98UUYXFYGX&lid=LSTMOBGYV98UUYXFYGXKS0ST9&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGYV98UUYXFYGX.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
20,"realme 8 (Cyber Black, 128 GB)","₹18,049",4.4,https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/4/g/a/8-rmx3085-realme-original-imagfgpfdkyc29zc.jpeg?q=70,https://www.flipkart.com/realme-8-cyber-black-128-gb/p/itm63bda3bf5b1db?pid=MOBGYV98456KWXBC&lid=LSTMOBGYV98456KWXBCQGNEHZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGYV98456KWXBC.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
21,"realme 8 (Cyber Silver, 128 GB)","₹16,049",4.3,https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/y/o/q/8-rmx3085-realme-original-imagfgpgmm6h8ptt.jpeg?q=70,https://www.flipkart.com/realme-8-cyber-silver-128-gb/p/itm63bda3bf5b1db?pid=MOBGYV98YXYYAFKN&lid=LSTMOBGYV98YXYYAFKNATWWNA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGYV98YXYYAFKN.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
22,"realme 9 Pro 5G (Midnight Black, 128 GB)","₹17,999",4.6,https://rukminim1.flixcart.com/image/312/312/kzogn0w0/mobile/9/u/s/-original-imagbmf2fttpg4xb.jpeg?q=70,https://www.flipkart.com/realme-9-pro-5g-midnight-black-128-gb/p/itmce357e4a0ca24?pid=MOBGB4ZYFFAQNSPF&lid=LSTMOBGB4ZYFFAQNSPF2VNLD7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGB4ZYFFAQNSPF.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
23,"realme 9 Pro 5G (Midnight Black, 128 GB)","₹20,999",4.6,https://rukminim1.flixcart.com/image/312/312/kzogn0w0/mobile/9/u/s/-original-imagbmf2fttpg4xb.jpeg?q=70,https://www.flipkart.com/realme-9-pro-5g-midnight-black-128-gb/p/itmce357e4a0ca24?pid=MOBGB4ZYWQBEVNGW&lid=LSTMOBGB4ZYWQBEVNGWVP5GWI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGB4ZYWQBEVNGW.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
